trial,feature_prefix,model,selection_metric,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,val_pearson,val_spearman,val_mae,val_rmse,val_r2
1,esm,xgb,pearson,100,3,0.01,0.8,0.8,0.861244261264801,0.8308868133923752,6.56190824508667,8.041713207156317,0.5754889249801636
2,esm,xgb,pearson,100,3,0.01,0.8,1.0,0.8606840372085571,0.8300152601400286,6.5477294921875,8.027513399210974,0.5769867897033691
3,esm,xgb,pearson,100,3,0.01,1.0,0.8,0.8585762977600098,0.8229768554541277,6.551042556762695,8.031487012401321,0.5765678882598877
4,esm,xgb,pearson,100,3,0.01,1.0,1.0,0.8562572598457336,0.8205952546357976,6.539653778076172,8.035771028833016,0.5761160850524902
5,esm,xgb,pearson,100,3,0.05,0.8,0.8,0.8961198329925537,0.8674235772848525,4.32991361618042,5.532329389352196,0.7990870475769043
6,esm,xgb,pearson,100,3,0.05,0.8,1.0,0.8947190642356873,0.8703672234542642,4.335877895355225,5.560684250641026,0.79702228307724
7,esm,xgb,pearson,100,3,0.05,1.0,0.8,0.8939144611358643,0.8685998567523799,4.373508453369141,5.585150219050545,0.7952322363853455
8,esm,xgb,pearson,100,3,0.05,1.0,1.0,0.8952881097793579,0.8681366456976076,4.368514060974121,5.567319346710044,0.7965376377105713
9,esm,xgb,pearson,100,3,0.1,0.8,0.8,0.9062933325767517,0.8821545050575439,4.07408332824707,5.235189710384041,0.8200893998146057
10,esm,xgb,pearson,100,3,0.1,0.8,1.0,0.8998381495475769,0.8754013277367454,4.2421464920043945,5.399193364402321,0.8086406588554382
11,esm,xgb,pearson,100,3,0.1,1.0,0.8,0.9000173807144165,0.8778223593778897,4.215765476226807,5.384826372016343,0.8096576929092407
12,esm,xgb,pearson,100,3,0.1,1.0,1.0,0.8970111012458801,0.877051021145714,4.269018173217773,5.46827843949052,0.8037123084068298
13,esm,xgb,pearson,100,5,0.01,0.8,0.8,0.889377236366272,0.8715557463857945,6.082029819488525,7.499563077279746,0.6307982206344604
14,esm,xgb,pearson,100,5,0.01,0.8,1.0,0.8829445838928223,0.866971022578379,6.088864803314209,7.517529157170343,0.6290271282196045
15,esm,xgb,pearson,100,5,0.01,1.0,0.8,0.881969690322876,0.8623284824131725,6.059107303619385,7.529910653079449,0.627804160118103
16,esm,xgb,pearson,100,5,0.01,1.0,1.0,0.8792638778686523,0.8636147263259102,6.018345355987549,7.506499208352069,0.6301149129867554
17,esm,xgb,pearson,100,5,0.05,0.8,0.8,0.9099641442298889,0.8923220217194174,3.9808316230773926,5.17972653289403,0.8238812685012817
18,esm,xgb,pearson,100,5,0.05,0.8,1.0,0.9046963453292847,0.8850936166106584,4.134706497192383,5.312261598511093,0.8147531747817993
19,esm,xgb,pearson,100,5,0.05,1.0,0.8,0.9068480134010315,0.8929280731875555,4.064702033996582,5.268609986532079,0.8177850246429443
20,esm,xgb,pearson,100,5,0.05,1.0,1.0,0.9087042808532715,0.892859147019836,4.011383533477783,5.211952579578258,0.8216829895973206
21,esm,xgb,pearson,100,5,0.1,0.8,0.8,0.9084584712982178,0.8903265638177773,4.02686071395874,5.198654866468277,0.8225917220115662
22,esm,xgb,pearson,100,5,0.1,0.8,1.0,0.9060432314872742,0.8860694660378439,4.0325140953063965,5.251610826691598,0.8189589977264404
23,esm,xgb,pearson,100,5,0.1,1.0,0.8,0.907659113407135,0.884753066926729,3.987147331237793,5.210531193164609,0.8217802047729492
24,esm,xgb,pearson,100,5,0.1,1.0,1.0,0.9097390174865723,0.8928496243256118,3.9753687381744385,5.15574430818072,0.8255083560943604
25,esm,xgb,pearson,100,7,0.01,0.8,0.8,0.8989534378051758,0.8871518789480166,5.959770679473877,7.371601420812456,0.6432897448539734
26,esm,xgb,pearson,100,7,0.01,0.8,1.0,0.8912633657455444,0.8787691872607722,5.935628890991211,7.382998251218148,0.6421859264373779
27,esm,xgb,pearson,100,7,0.01,1.0,0.8,0.8862795233726501,0.8697042625515947,5.997037410736084,7.450252339230725,0.6356374025344849
28,esm,xgb,pearson,100,7,0.01,1.0,1.0,0.875223696231842,0.8616816193983584,6.004972457885742,7.495916144814966,0.6311571598052979
29,esm,xgb,pearson,100,7,0.05,0.8,0.8,0.9095708727836609,0.8906065763741375,4.0372419357299805,5.223150533769163,0.820915937423706
30,esm,xgb,pearson,100,7,0.05,0.8,1.0,0.907090425491333,0.8873312230225759,4.076966762542725,5.273172917263044,0.8174692988395691
31,esm,xgb,pearson,100,7,0.05,1.0,0.8,0.902387261390686,0.8830963448624994,4.122347831726074,5.390788996316552,0.8092359304428101
32,esm,xgb,pearson,100,7,0.05,1.0,1.0,0.8965598344802856,0.8853310037738237,4.256812572479248,5.5258020845827005,0.7995609045028687
