trial,feature_prefix,model,selection_metric,n_estimators,max_depth,min_samples_split,min_samples_leaf,val_pearson,val_spearman,val_mae,val_rmse,val_r2
1,basic,rf,pearson,100,10.0,2,1,0.7994570875081496,0.7738735361476745,5.710774455481015,7.414474891943757,0.6391284260020101
2,basic,rf,pearson,100,10.0,2,2,0.7997122627206342,0.7732259929404159,5.6872196160311566,7.4102635490072615,0.6395382520178059
3,basic,rf,pearson,100,10.0,2,4,0.7984641847110433,0.7763922887700265,5.70221275241088,7.430760867103278,0.6375413682041716
4,basic,rf,pearson,100,10.0,5,1,0.7999702952798527,0.7731346204220249,5.694542779434679,7.406030844025956,0.6399499222592351
5,basic,rf,pearson,100,10.0,5,2,0.8000517938195139,0.7747298984354254,5.676559967245683,7.404681169336452,0.6400811413176806
6,basic,rf,pearson,100,10.0,5,4,0.7984641847110432,0.7763922887700265,5.70221275241088,7.430760867103278,0.6375413682041716
7,basic,rf,pearson,100,20.0,2,1,0.8032080026902216,0.7767779578861145,5.634587581308839,7.3524627106899185,0.6451396003400272
8,basic,rf,pearson,100,20.0,2,2,0.8057666260646557,0.7821204160768139,5.590349410672403,7.309784902353595,0.6492472607699911
9,basic,rf,pearson,100,20.0,2,4,0.8001888945163316,0.7756962251683864,5.680413058056621,7.402430019401301,0.6402999510502687
10,basic,rf,pearson,100,20.0,5,1,0.8001596040205966,0.7742056967914541,5.662994083207117,7.4030770862170225,0.6402370635559359
11,basic,rf,pearson,100,20.0,5,2,0.8025294689833983,0.7766231007395606,5.624988442083605,7.363812156689505,0.6440432119452786
12,basic,rf,pearson,100,20.0,5,4,0.8001888945163316,0.7756962251683864,5.680413058056621,7.402430019401302,0.6402999510502687
13,basic,rf,pearson,100,,2,1,0.8039296169694207,0.7784605272632389,5.639071605221537,7.340494013498393,0.6462939781104748
14,basic,rf,pearson,100,,2,2,0.8055419929908769,0.7816603792534497,5.591811904265526,7.3135105273665735,0.6488896288528154
15,basic,rf,pearson,100,,2,4,0.8001290211222584,0.7756499720821537,5.681206562220013,7.403417592885813,0.6402039679944915
16,basic,rf,pearson,100,,5,1,0.800552213386316,0.775617096113998,5.648629509351276,7.396597178752155,0.6408665883462885
17,basic,rf,pearson,100,,5,2,0.8024562572519361,0.7764553199365595,5.624974191707938,7.3650664438924895,0.6439219405009129
18,basic,rf,pearson,100,,5,4,0.8001290211222581,0.7756499720821537,5.681206562220015,7.4034175928858135,0.6402039679944913
19,basic,rf,pearson,300,10.0,2,1,0.8031352622439277,0.7774236872468543,5.662545306076706,7.353813538824656,0.6450091952049548
20,basic,rf,pearson,300,10.0,2,2,0.8024905299402418,0.7781120420007891,5.656340458219815,7.364601710742279,0.6439668758884391
21,basic,rf,pearson,300,10.0,2,4,0.8016406979992384,0.7763206418325289,5.661523922135448,7.378575482906972,0.6426145024902395
22,basic,rf,pearson,300,10.0,5,1,0.8031992780682764,0.7771325648805657,5.659155104598134,7.3527311809737155,0.6451136848841305
