trial,feature_prefix,model,selection_metric,alpha,val_pearson,val_spearman,val_mae,val_rmse,val_r2
1,esm,ridge,pearson,0.01,0.9132629632949829,0.9009665874978324,3.7642338275909424,5.036003189534336,0.8335193395614624
2,esm,ridge,pearson,0.1,0.9133874773979187,0.9011547740741717,3.7621800899505615,5.032446108973416,0.8337544202804565
3,esm,ridge,pearson,1.0,0.9145064353942871,0.9027396224700884,3.743544101715088,5.000356280031063,0.8358678221702576
4,esm,ridge,pearson,10.0,0.9201819896697998,0.9086411988502487,3.6369822025299072,4.834800475618212,0.8465563058853149
5,esm,ridge,pearson,100.0,0.9251355528831482,0.9153225025027347,3.555655002593994,4.687486775697492,0.8557645678520203
