bin,count,pearson,spearman,mae,rmse,r2
low,497,0.8724250303203838,0.8848906865629621,2.763232674044265,4.15786898132359,0.7049838811823933
medium,496,0.6917511593067575,0.7105471095766961,2.3565154536290325,3.1523148975924133,0.17106679151749093
high,496,0.7364053406449778,0.7474544540321714,2.504204606854839,3.355759682225896,0.2355323677066039
