bin,count,pearson,spearman,mae,rmse,r2
short,497,0.9239195773508697,0.9057632748542385,3.2521743460764587,4.681204465486933,0.8523208270444255
medium,496,0.9683264147138886,0.9671252531840876,2.2078525362903227,2.8703960616630875,0.9374770090700805
long,496,0.9748297456077321,0.9746643710087087,2.16294008266129,2.885119012195044,0.9502299836112591
